"symbol","name","sector","asset_class","market_value","weight_pct","notional_value","shares","CUSIP","ISIN","SEDOL","price","location","exchange","market_currency","fx_rate","accrual_date","date"
"MSFT","MICROSOFT CORP","Information Technology","Equity",2.745588365725e+10,6.91193,2.745588365725e+10,74659099,"594918104","US5949181045","2588173",367.75,"United States","NASDAQ","USD",1,"-",2024-01-08
"AAPL","APPLE INC","Information Technology","Equity",2.66076409441e+10,6.69839,2.66076409441e+10,146857495,"037833100","US0378331005","2046251",181.18,"United States","NASDAQ","USD",1,"-",2024-01-08
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity",1.326784698084e+10,3.34014,1.326784698084e+10,91351191,"023135106","US0231351067","2000019",145.24,"United States","NASDAQ","USD",1,"-",2024-01-08
"NVDA","NVIDIA CORP","Information Technology","Equity",1.218166729613e+10,3.06669,1.218166729613e+10,24811429,"67066G104","US67066G1040","2379504",490.97,"United States","NASDAQ","USD",1,"-",2024-01-08
"GOOGL","ALPHABET INC CLASS A","Communication","Equity",8068806188.94,2.0313,8068806188.94,59447478,"02079K305","US02079K3059","BYVY8G0",135.73,"United States","NASDAQ","USD",1,"-",2024-01-08
"META","META PLATFORMS INC CLASS A","Communication","Equity",7847342218.35,1.97554,7847342218.35,22296753,"30303M102","US30303M1027","B7TL820",351.95,"United States","NASDAQ","USD",1,"-",2024-01-08
"GOOG","ALPHABET INC CLASS C","Communication","Equity",6873995950.36,1.73051,6873995950.36,50032724,"02079K107","US02079K1079","BYY88Y7",137.39,"United States","NASDAQ","USD",1,"-",2024-01-08
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity",6681866494.6,1.68214,6681866494.6,18276940,"084670702","US0846707026","2073390",365.59,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"TSLA","TESLA INC","Consumer Discretionary","Equity",6597845534.28,1.66099,6597845534.28,27781572,"88160R101","US88160R1014","B616C79",237.49,"United States","NASDAQ","USD",1,"-",2024-01-08
"JPM","JPMORGAN CHASE & CO","Financials","Equity",5002898410.37,1.25946,5002898410.37,29041031,"46625H100","US46625H1005","2190385",172.27,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity",4992887859.84,1.25694,4992887859.84,9291168,"91324P102","US91324P1021","2917766",537.38,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"LLY","ELI LILLY","Health Care","Equity",4954709210,1.24733,4954709210,8010200,"532457108","US5324571083","2516152",618.55,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"AVGO","BROADCOM INC","Information Technology","Equity",4626608141.76,1.16473,4626608141.76,4409317,"11135F101","US11135F1012","BDZ78H9",1049.28,"United States","NASDAQ","USD",1,"-",2024-01-08
"V","VISA INC CLASS A","Financials","Equity",4158242497.08,1.04682,4158242497.08,16012332,"92826C839","US92826C8394","B2PZN04",259.69,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"XOM","EXXON MOBIL CORP","Energy","Equity",4129660936.83,1.03963,4129660936.83,40238341,"30231G102","US30231G1022","2326618",102.63,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"JNJ","JOHNSON & JOHNSON","Health Care","Equity",3896377824.27,0.9809,3896377824.27,24181579,"478160104","US4781601046","2475833",161.13,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"PG","PROCTER & GAMBLE","Consumer Staples","Equity",3490219065.06,0.87865,3490219065.06,23675343,"742718109","US7427181091","2704407",147.42,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"MA","MASTERCARD INC CLASS A","Financials","Equity",3488797214.74,0.87829,3488797214.74,8318147,"57636Q104","US57636Q1040","B121557",419.42,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"HD","HOME DEPOT INC","Consumer Discretionary","Equity",3445243142.12,0.86733,3445243142.12,10046198,"437076102","US4370761029","2434209",342.94,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"MRK","MERCK & CO INC","Health Care","Equity",2983857254.58,0.75118,2983857254.58,25455189,"58933Y105","US58933Y1055","2778844",117.22,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity",2917467368.91,0.73446,2917467368.91,4447291,"22160K105","US22160K1051","2701271",656.01,"United States","NASDAQ","USD",1,"-",2024-01-08
"ABBV","ABBVIE INC","Health Care","Equity",2875630727.2,0.72393,2875630727.2,17735480,"00287Y109","US00287Y1091","B92SR70",162.14,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"CVX","CHEVRON CORP","Energy","Equity",2652403414.4,0.66773,2652403414.4,17635661,"166764100","US1667641005","2838555",150.4,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"ADBE","ADOBE INC","Information Technology","Equity",2582373126,0.6501,2582373126,4573810,"00724F101","US00724F1012","2008154",564.6,"United States","NASDAQ","USD",1,"-",2024-01-08
"CRM","SALESFORCE INC","Information Technology","Equity",2454373552.96,0.61788,2454373552.96,9773708,"79466L302","US79466L3024","2310525",251.12,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"BAC","BANK OF AMERICA CORP","Financials","Equity",2381205896.41,0.59946,2381205896.41,69160787,"060505104","US0605051046","2295677",34.43,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"PEP","PEPSICO INC","Consumer Staples","Equity",2333160229.9,0.58737,2333160229.9,13810585,"713448108","US7134481081","2681511",168.94,"United States","NASDAQ","USD",1,"-",2024-01-08
"KO","COCA-COLA","Consumer Staples","Equity",2332293722.46,0.58715,2332293722.46,39086538,"191216100","US1912161007","2206657",59.67,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity",2249167258,0.56622,2249167258,16230100,"007903107","US0079031078","2007849",138.58,"United States","NASDAQ","USD",1,"-",2024-01-08
"WMT","WALMART INC","Consumer Staples","Equity",2245615592.63,0.56533,2245615592.63,14329753,"931142103","US9311421039","2936921",156.71,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity",2122197563.22,0.53426,2122197563.22,6304431,"G1151C101","IE00B4BNMY34","B4BNMY3",336.62,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity",2105604548.19,0.53008,2105604548.19,7286081,"580135101","US5801351017","2550707",288.99,"United States","New York Stock Exchange Inc.","USD",1,"-",2024-01-08
