"Symbol","Security","SEC filings","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"MMM","3M","reports","Industrials","Industrial Conglomerates","Saint Paul, Minnesota","1976-08-09",66740,"1902",2023-01-13
"AOS","A. O. Smith","reports","Industrials","Building Products","Milwaukee, Wisconsin","2017-07-26",91142,"1916",2023-01-13
"ABT","Abbott","reports","Health Care","Health Care Equipment","North Chicago, Illinois","1964-03-31",1800,"1888",2023-01-13
"ABBV","AbbVie","reports","Health Care","Pharmaceuticals","North Chicago, Illinois","2012-12-31",1551152,"2013 (1888)",2023-01-13
"ACN","Accenture","reports","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06",1467373,"1989",2023-01-13
"ATVI","Activision Blizzard","reports","Communication Services","Interactive Home Entertainment","Santa Monica, California","2015-08-31",718877,"2008",2023-01-13
"ADM","ADM","reports","Consumer Staples","Agricultural Products","Chicago, Illinois","1981-07-29",7084,"1902",2023-01-13
"ADBE","Adobe Inc.","reports","Information Technology","Application Software","San Jose, California","1997-05-05",796343,"1982",2023-01-13
"ADP","ADP","reports","Information Technology","Data Processing & Outsourced Services","Roseland, New Jersey","1981-03-31",8670,"1949",2023-01-13
"AAP","Advance Auto Parts","reports","Consumer Discretionary","Automotive Retail","Raleigh, North Carolina","2015-07-09",1158449,"1932",2023-01-13
"AES","AES Corporation","reports","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","1998-10-02",874761,"1981",2023-01-13
"AFL","Aflac","reports","Financials","Life & Health Insurance","Columbus, Georgia","1999-05-28",4977,"1955",2023-01-13
"A","Agilent Technologies","reports","Health Care","Health Care Equipment","Santa Clara, California","2000-06-05",1090872,"1999",2023-01-13
"APD","Air Products and Chemicals","reports","Materials","Industrial Gases","Allentown, Pennsylvania","1985-04-30",2969,"1940",2023-01-13
"AKAM","Akamai","reports","Information Technology","Internet Services & Infrastructure","Cambridge, Massachusetts","2007-07-12",1086222,"1998",2023-01-13
"ALK","Alaska Air Group","reports","Industrials","Airlines","SeaTac, Washington","2016-05-13",766421,"1985",2023-01-13
"ALB","Albemarle Corporation","reports","Materials","Specialty Chemicals","Charlotte, North Carolina","2016-07-01",915913,"1994",2023-01-13
"ARE","Alexandria Real Estate Equities","reports","Real Estate","Office REITs","Pasadena, California","2017-03-20",1035443,"1994",2023-01-13
"ALGN","Align Technology","reports","Health Care","Health Care Supplies","Tempe, Arizona","2017-06-19",1097149,"1997",2023-01-13
"ALLE","Allegion","reports","Industrials","Building Products","New York City, New York","2013-12-02",1579241,"1908",2023-01-13
"LNT","Alliant Energy","reports","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01",352541,"1917",2023-01-13
"ALL","Allstate","reports","Financials","Property & Casualty Insurance","Northfield Township, Illinois","1995-07-13",899051,"1931",2023-01-13
"GOOGL","Alphabet Inc. (Class A)","reports","Communication Services","Interactive Media & Services","Mountain View, California","2014-04-03",1652044,"1998",2023-01-13
"GOOG","Alphabet Inc. (Class C)","reports","Communication Services","Interactive Media & Services","Mountain View, California","2006-04-03",1652044,"1998",2023-01-13
"MO","Altria","reports","Consumer Staples","Tobacco","Richmond, Virginia","1957-03-04",764180,"1985",2023-01-13
