"Symbol","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"MMM","Industrials","Industrial Conglomerates","Saint Paul, Minnesota","1976-08-09",66740,"1902",2023-02-07
"AOS","Industrials","Building Products","Milwaukee, Wisconsin","2017-07-26",91142,"1916",2023-02-07
"ABT","Health Care","Health Care Equipment","North Chicago, Illinois","1964-03-31",1800,"1888",2023-02-07
"ABBV","Health Care","Pharmaceuticals","North Chicago, Illinois","2012-12-31",1551152,"2013 (1888)",2023-02-07
"ACN","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06",1467373,"1989",2023-02-07
"ATVI","Communication Services","Interactive Home Entertainment","Santa Monica, California","2015-08-31",718877,"2008",2023-02-07
"ADM","Consumer Staples","Agricultural Products","Chicago, Illinois","1981-07-29",7084,"1902",2023-02-07
"ADBE","Information Technology","Application Software","San Jose, California","1997-05-05",796343,"1982",2023-02-07
"ADP","Information Technology","Data Processing & Outsourced Services","Roseland, New Jersey","1981-03-31",8670,"1949",2023-02-07
"AAP","Consumer Discretionary","Automotive Retail","Raleigh, North Carolina","2015-07-09",1158449,"1932",2023-02-07
"AES","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","1998-10-02",874761,"1981",2023-02-07
"AFL","Financials","Life & Health Insurance","Columbus, Georgia","1999-05-28",4977,"1955",2023-02-07
"A","Health Care","Health Care Equipment","Santa Clara, California","2000-06-05",1090872,"1999",2023-02-07
"APD","Materials","Industrial Gases","Allentown, Pennsylvania","1985-04-30",2969,"1940",2023-02-07
"AKAM","Information Technology","Internet Services & Infrastructure","Cambridge, Massachusetts","2007-07-12",1086222,"1998",2023-02-07
"ALK","Industrials","Airlines","SeaTac, Washington","2016-05-13",766421,"1985",2023-02-07
"ALB","Materials","Specialty Chemicals","Charlotte, North Carolina","2016-07-01",915913,"1994",2023-02-07
"ARE","Real Estate","Office REITs","Pasadena, California","2017-03-20",1035443,"1994",2023-02-07
"ALGN","Health Care","Health Care Supplies","Tempe, Arizona","2017-06-19",1097149,"1997",2023-02-07
"ALLE","Industrials","Building Products","New York City, New York","2013-12-02",1579241,"1908",2023-02-07
"LNT","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01",352541,"1917",2023-02-07
"ALL","Financials","Property & Casualty Insurance","Northfield Township, Illinois","1995-07-13",899051,"1931",2023-02-07
"GOOGL","Communication Services","Interactive Media & Services","Mountain View, California","2014-04-03",1652044,"1998",2023-02-07
"GOOG","Communication Services","Interactive Media & Services","Mountain View, California","2006-04-03",1652044,"1998",2023-02-07
"MO","Consumer Staples","Tobacco","Richmond, Virginia","1957-03-04",764180,"1985",2023-02-07
"AMZN","Consumer Discretionary","Internet & Direct Marketing Retail","Seattle, Washington","2005-11-18",1018724,"1994",2023-02-07
"AMCR","Materials","Paper Packaging","Warmley, Bristol, United Kingdom","2019-06-07",1748790,"2019 (1860)",2023-02-07
"AMD","Information Technology","Semiconductors","Santa Clara, California","2017-03-20",2488,"1969",2023-02-07
"AEE","Utilities","Multi-Utilities","St. Louis, Missouri","1991-09-19",1002910,"1902",2023-02-07
"AAL","Industrials","Airlines","Fort Worth, Texas","2015-03-23",6201,"1934",2023-02-07
"AEP","Utilities","Electric Utilities","Columbus, Ohio","1957-03-04",4904,"1906",2023-02-07
"AXP","Financials","Consumer Finance","New York City, New York","1976-06-30",4962,"1850",2023-02-07
"AIG","Financials","Property & Casualty Insurance","New York City, New York","1980-03-31",5272,"1919",2023-02-07
"AMT","Real Estate","Specialized REITs","Boston, Massachusetts","2007-11-19",1053507,"1995",2023-02-07
"AWK","Utilities","Water Utilities","Camden, New Jersey","2016-03-04",1410636,"1886",2023-02-07
"AMP","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","2005-10-03",820027,"1894",2023-02-07
"ABC","Health Care","Health Care Distributors","Conshohocken, Pennsylvania","2001-08-30",1140859,"1985",2023-02-07
"AME","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","2013-09-23",1037868,"1930",2023-02-07
"AMGN","Health Care","Biotechnology","Thousand Oaks, California","1992-01-02",318154,"1980",2023-02-07
"APH","Information Technology","Electronic Components","Wallingford, Connecticut","2008-09-30",820313,"1932",2023-02-07
"ADI","Information Technology","Semiconductors","Wilmington, Massachusetts","1999-10-12",6281,"1965",2023-02-07
"ANSS","Information Technology","Application Software","Canonsburg, Pennsylvania","2017-06-19",1013462,"1969",2023-02-07
"AON","Financials","Insurance Brokers","London, UK","1996-04-23",315293,"1982 (1919)",2023-02-07
"APA","Energy","Oil & Gas Exploration & Production","Houston, Texas","1997-07-28",1841666,"1954",2023-02-07
"AAPL","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","1982-11-30",320193,"1977",2023-02-07
"AMAT","Information Technology","Semiconductor Equipment","Santa Clara, California","1995-03-16",6951,"1967",2023-02-07
"APTV","Consumer Discretionary","Auto Parts & Equipment","Dublin, Ireland","2012-12-24",1521332,"1994",2023-02-07
"ACGL","Financials","Reinsurance","Hamilton, Bermuda","2022-11-01",947484,"1995",2023-02-07
"ANET","Information Technology","Communications Equipment","Santa Clara, California","2018-08-28",1596532,"2004",2023-02-07
"AJG","Financials","Insurance Brokers","Rolling Meadows, Illinois","2016-05-31",354190,"1927",2023-02-07
"AIZ","Financials","Multi-line Insurance","New York City, New York","2007-04-10",1267238,"1892",2023-02-07
"T","Communication Services","Integrated Telecommunication Services","Dallas, Texas","1983-11-30 (1957-03-04)",732717,"1983 (1885)",2023-02-07
"ATO","Utilities","Gas Utilities","Dallas, Texas","2019-02-15",731802,"1906",2023-02-07
"ADSK","Information Technology","Application Software","San Francisco, California","1989-12-01",769397,"1982",2023-02-07
"AZO","Consumer Discretionary","Specialty Stores","Memphis, Tennessee","1997-01-02",866787,"1979",2023-02-07
"AVB","Real Estate","Residential REITs","Arlington, Virginia","2007-01-10",915912,"1978",2023-02-07
"AVY","Materials","Paper Packaging","Glendale, California","1987-12-31",8818,"1990",2023-02-07
"BKR","Energy","Oil & Gas Equipment & Services","Houston, Texas","2017-07-07",1701605,"2017",2023-02-07
"BALL","Materials","Metal & Glass Containers","Broomfield, Colorado","1984-10-31",9389,"1880",2023-02-07
"BAC","Financials","Diversified Banks","Charlotte, North Carolina","1976-06-30",70858,"1998 (1923 / 1874)",2023-02-07
"BBWI","Consumer Discretionary","Specialty Stores","Columbus, Ohio","1983-09-30",701985,"1963",2023-02-07
"BAX","Health Care","Health Care Equipment","Deerfield, Illinois","1972-09-30",10456,"1931",2023-02-07
"BDX","Health Care","Health Care Equipment","Franklin Lakes, New Jersey","1972-09-30",10795,"1897",2023-02-07
"WRB","Financials","Property & Casualty Insurance","Greenwich, Connecticut","2019-12-05",11544,"1967",2023-02-07
"BRK.B","Financials","Multi-Sector Holdings","Omaha, Nebraska","2010-02-16",1067983,"1839",2023-02-07
"BBY","Consumer Discretionary","Computer & Electronics Retail","Richfield, Minnesota","1999-06-29",764478,"1966",2023-02-07
"BIO","Health Care","Life Sciences Tools & Services","Hercules, California","2020-06-22",12208,"1952",2023-02-07
"TECH","Health Care","Life Sciences Tools & Services","Minneapolis, Minnesota","2021-08-30",842023,"1976",2023-02-07
"BIIB","Health Care","Biotechnology","Cambridge, Massachusetts","2003-11-13",875045,"1978",2023-02-07
"BLK","Financials","Asset Management & Custody Banks","New York City, New York","2011-04-04",1364742,"1988",2023-02-07
"BK","Financials","Asset Management & Custody Banks","New York City, New York","1995-03-31",1390777,"1784",2023-02-07
"BA","Industrials","Aerospace & Defense","Chicago, Illinois","1957-03-04",12927,"1916",2023-02-07
"BKNG","Consumer Discretionary","Internet & Direct Marketing Retail","Norwalk, Connecticut","2009-11-06",1075531,"1996",2023-02-07
"BWA","Consumer Discretionary","Auto Parts & Equipment","Auburn Hills, Michigan","2011-12-19",908255,"1880",2023-02-07
"BXP","Real Estate","Office REITs","Boston, Massachusetts","2006-04-03",1037540,"1970",2023-02-07
"BSX","Health Care","Health Care Equipment","Marlborough, Massachusetts","1995-02-24",885725,"1979",2023-02-07
"BMY","Health Care","Pharmaceuticals","New York City, New York","1957-03-04",14272,"1989 (1887)",2023-02-07
"AVGO","Information Technology","Semiconductors","San Jose, California","2014-05-08",1730168,"1961",2023-02-07
"BR","Information Technology","Data Processing & Outsourced Services","Lake Success, New York","2018-06-18",1383312,"1962",2023-02-07
"BRO","Financials","Insurance Brokers","Daytona Beach, Florida","2021-09-20",79282,"1939",2023-02-07
"BF.B","Consumer Staples","Distillers & Vintners","Louisville, Kentucky","1982-10-31",14693,"1870",2023-02-07
"CHRW","Industrials","Air Freight & Logistics","Eden Prairie, Minnesota","2007-03-02",1043277,"1905",2023-02-07
"CDNS","Information Technology","Application Software","San Jose, California","2017-09-18",813672,"1988",2023-02-07
"CZR","Consumer Discretionary","Casinos & Gaming","Reno, Nevada","2021-03-22",1590895,"1973",2023-02-07
"CPT","Real Estate","Residential REITs","Houston, Texas","2022-04-04",906345,"1981",2023-02-07
"CPB","Consumer Staples","Packaged Foods & Meats","Camden, New Jersey","1957-03-04",16732,"1869",2023-02-07
"COF","Financials","Consumer Finance","Tysons Corner, Virginia","1998-07-01",927628,"1994",2023-02-07
"CAH","Health Care","Health Care Distributors","Dublin, Ohio","1997-05-27",721371,"1971",2023-02-07
"KMX","Consumer Discretionary","Automotive Retail","Richmond, Virginia","2010-06-28",1170010,"1993",2023-02-07
"CCL","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Miami, Florida","1998-12-22",815097,"1972",2023-02-07
"CARR","Industrials","Building Products","Palm Beach Gardens, Florida","2020-04-03",1783180,"2020 (1915)",2023-02-07
"CTLT","Health Care","Pharmaceuticals","Somerset, New Jersey","2020-09-21",1596783,"2007",2023-02-07
"CAT","Industrials","Construction Machinery & Heavy Trucks","Irving, Texas","1957-03-04",18230,"1925",2023-02-07
"CBOE","Financials","Financial Exchanges & Data","Chicago, Illinois","2017-03-01",1374310,"1973",2023-02-07
"CBRE","Real Estate","Real Estate Services","Dallas, Texas","2006-11-10",1138118,"1906",2023-02-07
"CDW","Information Technology","Technology Distributors","Lincolnshire, Illinois","2019-09-23",1402057,"1984",2023-02-07
"CE","Materials","Specialty Chemicals","Irving, Texas","2018-12-24",1306830,"1918",2023-02-07
"CNC","Health Care","Managed Health Care","St. Louis, Missouri","2016-03-30",1071739,"1984",2023-02-07
"CNP","Utilities","Multi-Utilities","Houston, Texas","1985-07-31",1130310,"1882",2023-02-07
"CDAY","Information Technology","Application Software","Minneapolis, Minnesota","2021-09-20",1725057,"1992",2023-02-07
