"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","date"
"Symbol","Security","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded",,"MMM","3M","Industrials","Industrial Conglomerates","Saint Paul, Minnesota","1957-03-04",66740,1902,2024-02-05
"AOS","A. O. Smith","Industrials","Building Products","Milwaukee, Wisconsin","2017-07-26","0000091142","1916",,,,,,,,,,2024-02-05
"ABT","Abbott","Health Care","Health Care Equipment","North Chicago, Illinois","1957-03-04","0000001800","1888",,,,,,,,,,2024-02-05
"ABBV","AbbVie","Health Care","Biotechnology","North Chicago, Illinois","2012-12-31","0001551152","2013 (1888)",,,,,,,,,,2024-02-05
"ACN","Accenture","Information Technology","IT Consulting & Other Services","Dublin, Ireland","2011-07-06","0001467373","1989",,,,,,,,,,2024-02-05
"ADBE","Adobe Inc.","Information Technology","Application Software","San Jose, California","1997-05-05","0000796343","1982",,,,,,,,,,2024-02-05
"AMD","Advanced Micro Devices","Information Technology","Semiconductors","Santa Clara, California","2017-03-20","0000002488","1969",,,,,,,,,,2024-02-05
"AES","AES Corporation","Utilities","Independent Power Producers & Energy Traders","Arlington, Virginia","1998-10-02","0000874761","1981",,,,,,,,,,2024-02-05
"AFL","Aflac","Financials","Life & Health Insurance","Columbus, Georgia","1999-05-28","0000004977","1955",,,,,,,,,,2024-02-05
"A","Agilent Technologies","Health Care","Life Sciences Tools & Services","Santa Clara, California","2000-06-05","0001090872","1999",,,,,,,,,,2024-02-05
"APD","Air Products and Chemicals","Materials","Industrial Gases","Allentown, Pennsylvania","1985-04-30","0000002969","1940",,,,,,,,,,2024-02-05
"ABNB","Airbnb","Consumer Discretionary","Hotels, Resorts & Cruise Lines","San Francisco, California","2023-09-18","0001559720","2008",,,,,,,,,,2024-02-05
"AKAM","Akamai","Information Technology","Internet Services & Infrastructure","Cambridge, Massachusetts","2007-07-12","0001086222","1998",,,,,,,,,,2024-02-05
"ALB","Albemarle Corporation","Materials","Specialty Chemicals","Charlotte, North Carolina","2016-07-01","0000915913","1994",,,,,,,,,,2024-02-05
"ARE","Alexandria Real Estate Equities","Real Estate","Office REITs","Pasadena, California","2017-03-20","0001035443","1994",,,,,,,,,,2024-02-05
"ALGN","Align Technology","Health Care","Health Care Supplies","Tempe, Arizona","2017-06-19","0001097149","1997",,,,,,,,,,2024-02-05
"ALLE","Allegion","Industrials","Building Products","Dublin, Ireland","2013-12-02","0001579241","1908",,,,,,,,,,2024-02-05
"LNT","Alliant Energy","Utilities","Electric Utilities","Madison, Wisconsin","2016-07-01","0000352541","1917",,,,,,,,,,2024-02-05
"ALL","Allstate","Financials","Property & Casualty Insurance","Northbrook, Illinois","1995-07-13","0000899051","1931",,,,,,,,,,2024-02-05
"GOOGL","Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","Mountain View, California","2014-04-03","0001652044","1998",,,,,,,,,,2024-02-05
"GOOG","Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services","Mountain View, California","2006-04-03","0001652044","1998",,,,,,,,,,2024-02-05
"MO","Altria","Consumer Staples","Tobacco","Richmond, Virginia","1957-03-04","0000764180","1985",,,,,,,,,,2024-02-05
"AMZN","Amazon","Consumer Discretionary","Broadline Retail","Seattle, Washington","2005-11-18","0001018724","1994",,,,,,,,,,2024-02-05
"AMCR","Amcor","Materials","Paper & Plastic Packaging Products & Materials","Warmley, Bristol, United Kingdom","2019-06-07","0001748790","2019 (1860)",,,,,,,,,,2024-02-05
"AEE","Ameren","Utilities","Multi-Utilities","St. Louis, Missouri","1991-09-19","0001002910","1902",,,,,,,,,,2024-02-05
"AAL","American Airlines Group","Industrials","Passenger Airlines","Fort Worth, Texas","2015-03-23","0000006201","1934",,,,,,,,,,2024-02-05
"AEP","American Electric Power","Utilities","Electric Utilities","Columbus, Ohio","1957-03-04","0000004904","1906",,,,,,,,,,2024-02-05
"AXP","American Express","Financials","Consumer Finance","New York City, New York","1976-06-30","0000004962","1850",,,,,,,,,,2024-02-05
"AIG","American International Group","Financials","Multi-line Insurance","New York City, New York","1980-03-31","0000005272","1919",,,,,,,,,,2024-02-05
"AMT","American Tower","Real Estate","Telecom Tower REITs","Boston, Massachusetts","2007-11-19","0001053507","1995",,,,,,,,,,2024-02-05
"AWK","American Water Works","Utilities","Water Utilities","Camden, New Jersey","2016-03-04","0001410636","1886",,,,,,,,,,2024-02-05
"AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks","Minneapolis, Minnesota","2005-10-03","0000820027","1894",,,,,,,,,,2024-02-05
"AME","Ametek","Industrials","Electrical Components & Equipment","Berwyn, Pennsylvania","2013-09-23","0001037868","1930",,,,,,,,,,2024-02-05
"AMGN","Amgen","Health Care","Biotechnology","Thousand Oaks, California","1992-01-02","0000318154","1980",,,,,,,,,,2024-02-05
"APH","Amphenol","Information Technology","Electronic Components","Wallingford, Connecticut","2008-09-30","0000820313","1932",,,,,,,,,,2024-02-05
"ADI","Analog Devices","Information Technology","Semiconductors","Wilmington, Massachusetts","1999-10-12","0000006281","1965",,,,,,,,,,2024-02-05
"ANSS","Ansys","Information Technology","Application Software","Canonsburg, Pennsylvania","2017-06-19","0001013462","1969",,,,,,,,,,2024-02-05
"AON","Aon","Financials","Insurance Brokers","London, UK","1996-04-23","0000315293","1982 (1919)",,,,,,,,,,2024-02-05
"APA","APA Corporation","Energy","Oil & Gas Exploration & Production","Houston, Texas","1997-07-28","0001841666","1954",,,,,,,,,,2024-02-05
"AAPL","Apple Inc.","Information Technology","Technology Hardware, Storage & Peripherals","Cupertino, California","1982-11-30","0000320193","1977",,,,,,,,,,2024-02-05
"AMAT","Applied Materials","Information Technology","Semiconductor Materials & Equipment","Santa Clara, California","1995-03-16","0000006951","1967",,,,,,,,,,2024-02-05
"APTV","Aptiv","Consumer Discretionary","Automotive Parts & Equipment","Dublin, Ireland","2012-12-24","0001521332","1994",,,,,,,,,,2024-02-05
"ACGL","Arch Capital Group","Financials","Property & Casualty Insurance","Hamilton, Bermuda","2022-11-01","0000947484","1995",,,,,,,,,,2024-02-05
"ADM","Archer-Daniels-Midland","Consumer Staples","Agricultural Products & Services","Chicago, Illinois","1957-03-04","0000007084","1902",,,,,,,,,,2024-02-05
"ANET","Arista Networks","Information Technology","Communications Equipment","Santa Clara, California","2018-08-28","0001596532","2004",,,,,,,,,,2024-02-05
